ubigeo,DEPARTAMENTO,PROVINCIA,DISTRITO,r1_PNP,r1_FA,r1_PM,r1_PPS,r1_VN,r1_AP,r1_AvP,r1_PP,r1_JP,r1_PPC,r1_FP,r1_UPP,r1_RP,r1_RUNA,r1_SP,r1_PL,r1_DD,r1_APP,VOTOS_VB,VOTOS_VN,VOTOS_VI,r1_total_valid,r1_blank,r1_null,r1_pct_PNP,r1_pct_FA,r1_pct_PM,r1_pct_PPS,r1_pct_VN,r1_pct_AP,r1_pct_AvP,r1_pct_PP,r1_pct_JP,r1_pct_PPC,r1_pct_FP,r1_pct_UPP,r1_pct_RP,r1_pct_RUNA,r1_pct_SP,r1_pct_PL,r1_pct_DD,r1_pct_APP,r2_castillo,r2_fujimori,r2_blank,r2_null,r2_total_valid,r2_pct_castillo,r2_pct_fujimori,r2_margin,r2_winner
920503,AMERICA,BRASIL,BRASILIA,1.0,0.0,9.0,3.0,14.0,16.0,25.0,0.0,28.0,4.0,7.0,0.0,42.0,1.0,2.0,6.0,0.0,1.0,23.0,8.0,0.0,159.0,23.0,8.0,0.63,0.0,5.66,1.89,8.81,10.06,15.72,0.0,17.61,2.52,4.4,0.0,26.42,0.63,1.26,3.77,0.0,0.63,69.0,108.0,1.0,14.0,177.0,38.98,61.02,-22.04,Fujimori
920504,AMERICA,BRASIL,CURITIBA,2.0,0.0,1.0,2.0,4.0,2.0,10.0,1.0,13.0,3.0,4.0,0.0,11.0,0.0,2.0,0.0,0.0,1.0,12.0,80.0,0.0,56.0,12.0,80.0,3.57,0.0,1.79,3.57,7.14,3.57,17.86,1.79,23.21,5.36,7.14,0.0,19.64,0.0,3.57,0.0,0.0,1.79,46.0,116.0,0.0,8.0,162.0,28.4,71.6,-43.2,Fujimori
920505,AMERICA,BRASIL,MANAOS,18.0,1.0,7.0,5.0,36.0,40.0,37.0,8.0,38.0,11.0,104.0,7.0,105.0,4.0,4.0,12.0,2.0,11.0,142.0,41.0,0.0,450.0,142.0,41.0,4.0,0.22,1.56,1.11,8.0,8.89,8.22,1.78,8.44,2.44,23.11,1.56,23.33,0.89,0.89,2.67,0.44,2.44,215.0,388.0,6.0,42.0,603.0,35.66,64.34,-28.68,Fujimori
920506,AMERICA,BRASIL,PORTO ALEGRE,0.0,0.0,1.0,0.0,4.0,0.0,4.0,1.0,13.0,2.0,10.0,0.0,11.0,0.0,1.0,2.0,0.0,0.0,6.0,263.0,0.0,49.0,6.0,263.0,0.0,0.0,2.04,0.0,8.16,0.0,8.16,2.04,26.53,4.08,20.41,0.0,22.45,0.0,2.04,4.08,0.0,0.0,60.0,63.0,1.0,4.0,123.0,48.78,51.22,-2.44,Fujimori
920508,AMERICA,BRASIL,RIO BRANCO,1.0,1.0,1.0,0.0,2.0,5.0,4.0,2.0,9.0,3.0,26.0,2.0,22.0,1.0,0.0,5.0,0.0,0.0,9.0,8.0,0.0,84.0,9.0,8.0,1.19,1.19,1.19,0.0,2.38,5.95,4.76,2.38,10.71,3.57,30.95,2.38,26.19,1.19,0.0,5.95,0.0,0.0,52.0,70.0,3.0,3.0,122.0,42.62,57.38,-14.76,Fujimori
920509,AMERICA,BRASIL,RIO DE JANEIRO,3.0,7.0,21.0,7.0,21.0,29.0,100.0,8.0,134.0,14.0,41.0,1.0,107.0,1.0,6.0,28.0,3.0,6.0,103.0,23.0,0.0,537.0,103.0,23.0,0.56,1.3,3.91,1.3,3.91,5.4,18.62,1.49,24.95,2.61,7.64,0.19,19.93,0.19,1.12,5.21,0.56,1.12,317.0,370.0,11.0,49.0,687.0,46.14,53.86,-7.72,Fujimori
920510,AMERICA,BRASIL,SAO PAULO,20.0,5.0,55.0,8.0,78.0,163.0,171.0,17.0,230.0,31.0,130.0,11.0,263.0,9.0,35.0,280.0,6.0,25.0,284.0,796.0,0.0,1537.0,284.0,796.0,1.3,0.33,3.58,0.52,5.07,10.61,11.13,1.11,14.96,2.02,8.46,0.72,17.11,0.59,2.28,18.22,0.39,1.63,1296.0,1231.0,21.0,262.0,2527.0,51.29,48.71,2.58,Castillo
920511,AMERICA,BRASIL,SALVADOR,0.0,0.0,1.0,0.0,0.0,10.0,5.0,0.0,9.0,3.0,3.0,0.0,14.0,1.0,0.0,2.0,0.0,1.0,5.0,2.0,0.0,49.0,5.0,2.0,0.0,0.0,2.04,0.0,0.0,20.41,10.2,0.0,18.37,6.12,6.12,0.0,28.57,2.04,0.0,4.08,0.0,2.04,25.0,32.0,1.0,8.0,57.0,43.86,56.14,-12.28,Fujimori
920532,AMERICA,BRASIL,GOIAS,1.0,1.0,3.0,0.0,5.0,8.0,6.0,3.0,7.0,0.0,4.0,0.0,9.0,0.0,0.0,7.0,0.0,2.0,10.0,7.0,0.0,56.0,10.0,7.0,1.79,1.79,5.36,0.0,8.93,14.29,10.71,5.36,12.5,0.0,7.14,0.0,16.07,0.0,0.0,12.5,0.0,3.57,34.0,38.0,1.0,2.0,72.0,47.22,52.78,-5.56,Fujimori
920536,AMERICA,BRASIL,FORTALEZA,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,8.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,21.0,1.0,2.0,4.76,0.0,4.76,0.0,4.76,4.76,9.52,9.52,38.1,0.0,4.76,0.0,9.52,0.0,4.76,4.76,0.0,0.0,16.0,10.0,1.0,1.0,26.0,61.54,38.46,23.08,Castillo
920601,AMERICA,CANADA,MONTREAL,4.0,3.0,65.0,3.0,69.0,53.0,150.0,19.0,184.0,18.0,79.0,0.0,329.0,1.0,6.0,12.0,0.0,6.0,129.0,607.0,0.0,1001.0,129.0,607.0,0.4,0.3,6.49,0.3,6.89,5.29,14.99,1.9,18.38,1.8,7.89,0.0,32.87,0.1,0.6,1.2,0.0,0.6,930.0,2611.0,9.0,442.0,3541.0,26.26,73.74,-47.48,Fujimori
