ubigeo,departamento,provincia,distrito,DQ1_bad_total_pop,DQ4_density_broken,DQ3_education_outlier,DQ2_pobreza_idh_outlier,total_pop_raw,pob_densidad_2020,recomputed_density_raw,recomputed_density_fixed,density_ratio_csv_over_2017,pct_superior_cualquiera,pct_pobreza_total,idh_2019,pobreza_idh_resid_z
120501,JUNIN,JUNIN,JUNIN,False,False,True,False,10976.0,13.387644263408,12.419099343742928,12.419099343742928,1.077988338192419,26.85,22.178845,0.488132082294227,-0.43010369916024555
120701,JUNIN,TARMA,TARMA,False,False,True,False,47775.0,119.147733449288,103.86998586802913,103.86998586802913,1.1470852956567246,27.62,14.537614,0.549326034763295,-0.606378075735531
120801,JUNIN,YAULI,LA OROYA,False,False,True,False,14021.0,46.1124555893105,36.097523299521136,36.097523299521136,1.2774409813850642,27.55,12.5755,0.621171121778423,-0.14509898044689437
120803,JUNIN,YAULI,HUAY-HUAY,False,False,True,False,1947.0,7.7636990107813695,10.820273424474825,10.820273424474825,0.7175141242937851,26.07,13.6195,0.632548650412604,0.057106786787447086
120805,JUNIN,YAULI,MOROCOCHA,False,False,True,False,5155.0,18.2406745210223,19.403771596341326,19.403771596341326,0.940058195926284,29.99,14.238628,0.727764014102057,0.975373977620686
120808,JUNIN,YAULI,SANTA ROSA DE SACCO,False,False,True,False,8977.0,87.0907112474033,88.80205757246019,88.80205757246019,0.9807285284616242,28.16,12.5755,0.6321460491366399,-0.046059239670310136
120810,JUNIN,YAULI,YAULI,False,False,True,False,5341.0,8.77027536778574,12.591946435307431,12.591946435307431,0.6964987829994381,35.93,4.271369,0.7045048858113409,-0.18477923516828476
120901,JUNIN,CHUPACA,CHUPACA,False,False,True,False,20341.0,1397.83410138249,937.3732718894009,937.3732718894009,1.4912246202251627,26.96,14.533798,0.5484926229087,-0.6142627457404539
130101,LA LIBERTAD,TRUJILLO,TRUJILLO,False,False,True,False,314939.0,10084.4512195122,8001.498983739838,8001.498983739838,1.2603202524933406,47.77,4.989521,0.715115519183945,-0.020559769175782564
130105,LA LIBERTAD,TRUJILLO,LA ESPERANZA,False,False,True,False,189206.0,12278.4565916399,12167.5884244373,12167.5884244373,1.0091117617834553,25.65,19.245626,0.596157415461107,0.26508930315465895
130107,LA LIBERTAD,TRUJILLO,MOCHE,False,False,True,False,37436.0,1726.81188118812,1482.6138613861385,1482.6138613861385,1.1647077679239244,27.49,13.2825,0.618325375347301,-0.10337554291977874
130111,LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,False,False,True,False,68506.0,4348.72364039956,3801.6648168701445,3801.6648168701445,1.1438998043966961,45.9,6.118822,0.753164112460434,0.43046296408772144
130203,LA LIBERTAD,ASCOPE,CHOCOPE,False,False,True,False,9321.0,131.630627807375,97.36759636477593,97.36759636477593,1.3518935736508966,26.68,15.119381,0.613755240273678,0.030507300529266076
130207,LA LIBERTAD,ASCOPE,SANTIAGO DE CAO,False,False,True,False,19204.0,134.519572953737,124.257521837593,124.257521837593,1.082586961049784,25.07,23.065831,0.617580772129479,0.8226283015997997
130208,LA LIBERTAD,ASCOPE,CASA GRANDE,False,False,True,False,28492.0,44.5404304828389,41.43688190808609,41.43688190808609,1.0748982170433816,25.62,12.468796,0.61885108482907,-0.17620836258275727
130701,LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,False,False,True,False,17637.0,27.718397153555905,25.303797649961982,25.303797649961982,1.095424391903385,27.47,21.034851,0.613851753855395,0.5953473769363464
