ubigeo,imputed,n_parents,parent_ubigeos,cvr_deaths,cvr_events,cvr_guerr_8088,cvr_guerr_8900,cvr_state_8088,cvr_state_8900,emergency_zone_1990,guerrilla_presence,marxist_vote_1980,colonial_mita_zone,prior_social_movements,illiteracy_1972,population_1972_thousands
020509,False,1,020509,8.0,5.0,0.0,4.0,0.0,3.0,1.0,1.0,0.09840425848960876,0.0,0.0,0.2696256935596466,3.0190000534057617
020510,False,1,020510,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.12962962687015533,0.0,0.0,0.3413897156715393,1.6549999713897705
020512,False,1,020512,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.12666666507720947,0.0,0.0,0.3261767029762268,1.2109999656677246
020513,False,1,020513,3.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.1794871836900711,0.0,0.0,0.336977481842041,1.5549999475479126
020514,False,1,020514,3.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.04123711213469505,0.0,0.0,0.2531120479106903,0.4819999933242798
020515,False,1,020515,7.0,4.0,0.0,2.0,0.0,2.0,1.0,1.0,0.375,0.0,0.0,0.32630613446235657,1.090999960899353
020601,False,1,020601,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3319999873638153,0.0,0.0,0.47693106532096863,9.645000457763672
020602,False,1,020602,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2781457006931305,0.0,0.0,0.4366492033004761,1.909999966621399
020603,False,1,020603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1489361673593521,0.0,0.0,0.5954838991165161,1.5499999523162842
020604,False,1,020604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17507418990135193,0.0,0.0,0.40617796778678894,2.1689999103546143
020605,False,1,020605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14553990960121155,0.0,0.0,0.5159883499145508,1.3760000467300415
020606,False,1,020606,4.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.568345308303833,0.0,0.0,0.5614906549453735,5.635000228881836
020607,False,1,020607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,0.0,0.4592541456222534,1.4479999542236328
020608,False,1,020608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29906541109085083,0.0,0.0,0.5857585072517395,1.6150000095367432
020609,False,1,020609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44090908765792847,0.0,0.0,0.6853836178779602,2.3329999446868896
020610,False,1,020610,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.472573846578598,0.0,0.0,0.36795252561569214,1.3480000495910645
020701,False,1,020701,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.006664198357611895,0.0,0.0,0.6338998079299927,11.180000305175781
020703,False,1,020703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06779661029577255,0.0,0.0,0.6103097200393677,8.942999839782715
020801,False,1,020801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13264615833759308,0.0,0.0,0.19680403172969818,13.079000473022461
020802,False,1,020802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0,0.0,0.4220438301563263,3.239000082015991
