ubigeo,department,provincia,distrito,landredist_pc,landredist_pcprivate,landredist_pc_2,landdist_uncult_pc,D_LRSurfaceArea50th,LRpercap_calweighted_log,prop_ha_ths,imputed,lr_parent_ubigeo
021307,Áncash,MARISCAL LUZURIAGA,LUCMA,0.17737862,0.626422,0.031463176,0.0,0.0,2.6444812,0.52744,False,21307
021308,Áncash,MARISCAL LUZURIAGA,MUSGA,0.011254969,0.03223522,0.00012667433,0.0,0.0,0.1498202,0.95482004,False,21308
021401,Áncash,OCROS,OCROS,0.00024731533,0.002700965,6.116487e-08,0.0,0.0,0.012539819,1.68526,False,21401
021402,Áncash,OCROS,ACAS,8.219317e-05,0.0028835519,6.755717e-09,0.0,0.0,0.022632549,0.58346003,False,21402
021403,Áncash,OCROS,CAJAMARQUILLA,0.057191383,1.0,0.0032708542,0.0,0.0,5.6823587,0.25549,False,21403
021404,Áncash,OCROS,CARHUAPAMPA,4.126515e-05,0.002674379,1.7028126e-09,0.0,0.0,0.0033841077,0.12887,False,21404
021405,Áncash,OCROS,COCHAS,0.02676937,0.8526129,0.00071659917,0.0,0.0,8.458049,0.39747,False,21405
021406,Áncash,OCROS,CONGAS,0.00023240472,0.0026743792,5.4011956e-08,0.0,0.0,0.010253736,0.82835996,False,21406
021407,Áncash,OCROS,LLIPA,0.00043212436,0.002674379,1.8673147e-07,0.0,0.0,0.015535164,0.52177,False,21407
021408,Áncash,OCROS,SAN CRISTÓBAL DE RAJAN,0.00028431337,0.0027366718,8.083409e-08,0.0,0.0,0.013100103,0.68027,False,21408
021409,Áncash,OCROS,SAN PEDRO,0.0029709048,0.17743933,8.826275e-06,0.0,0.0,1.2028595,59.275173,False,21409
021410,Áncash,OCROS,SANTIAGO DE CHILCAS,0.00021837333,0.0028406153,4.768691e-08,0.0,0.0,0.015697952,0.43401,False,21410
021501,Áncash,PALLASCA,CABANA,0.03058973,0.49165145,0.0009357316,0.0,0.0,2.5691462,55.71696,False,21501
